Авиакомпания,Аэропорт вылета,Аэропорт прилета,День недели,Месяц,Время вылета,Время прилета,Продолжительность полета,Задержка прилета
Airline_A,DEN,LAX,Пятница,Август,16,17,4.00746314041722,-131.72946481790115
Airline_C,JFK,DEN,Воскресенье,Ноябрь,14,19,5.4226866196574255,-40.299517753614694
Airline_C,DFW,JFK,Суббота,Август,9,12,2.718068161200861,60.92430922516069
Airline_C,ORD,LAX,Пятница,Апрель,14,15,5.4426937019674355,50.840906165103455
Airline_A,DFW,DEN,Понедельник,Февраль,14,18,5.732219206312222,-8.879254579347315
Airline_C,DEN,LAX,Четверг,Август,22,1,4.233018964396835,-150.91216529570497
Airline_C,JFK,DFW,Среда,Август,6,10,2.8131420044817252,-93.2549158816381
Airline_A,JFK,DFW,Четверг,Октябрь,12,13,4.588431240453453,-130.10788701944415
Airline_C,DEN,DFW,Пятница,Апрель,16,19,1.2107630994299061,-140.26719835134259
Airline_A,DEN,JFK,Пятница,Март,8,12,1.2367204758538328,93.15740515188969
Airline_B,ORD,DFW,Пятница,Февраль,7,12,2.628030464569537,-146.57573948121043
Airline_C,JFK,DEN,Четверг,Сентябрь,19,0,5.829939593212443,49.251046038608955
Airline_B,DFW,LAX,Пятница,Январь,20,21,4.415627782029155,-201.97518171483568
Airline_A,LAX,ORD,Понедельник,Июль,17,20,4.258300429127592,72.17673211811191
Airline_C,LAX,DEN,Пятница,Май,12,14,2.8670116069106006,9.069669963374574
Airline_A,DEN,DEN,Вторник,Август,15,18,2.669268291750835,171.66458238296522
Airline_B,ORD,DFW,Воскресенье,Апрель,8,13,1.4480854872830764,-117.29359820597742
Airline_A,LAX,JFK,Четверг,Июль,11,15,3.487900195279302,3.56571082884561
Airline_C,JFK,LAX,Вторник,Май,11,13,2.2042564679363963,-2.844006706028658
Airline_C,DEN,JFK,Пятница,Май,5,6,3.626802630064844,-18.296753125207754
Airline_B,DFW,LAX,Понедельник,Сентябрь,18,20,2.3587425105428887,-49.066249396294566
Airline_A,DEN,LAX,Среда,Сентябрь,6,7,5.9956451766743495,7.472958292558921
Airline_C,DFW,JFK,Суббота,Сентябрь,2,4,5.480183515261888,-4.078833855684302
Airline_B,DEN,DEN,Воскресенье,Декабрь,15,16,1.4858856061896133,-249.43080437277354
Airline_C,DEN,LAX,Суббота,Июнь,17,18,1.5658517874106719,131.90808973763916
Airline_C,DEN,JFK,Пятница,Июнь,15,17,3.9167560031187465,281.48245072165054
Airline_A,DFW,LAX,Воскресенье,Май,22,0,2.8008180998597503,3.999764542298056
Airline_C,DFW,ORD,Воскресенье,Сентябрь,6,7,4.451130069797841,-172.9512605630493
Airline_A,DEN,DEN,Понедельник,Октябрь,3,8,1.718699265972796,-111.52134892576275
Airline_C,LAX,DFW,Воскресенье,Август,7,9,4.586235498780762,60.95057263255904
Airline_B,ORD,LAX,Четверг,Июль,12,15,4.492367048701249,86.16677720813085
Airline_C,ORD,ORD,Вторник,Июль,12,16,2.1923157727843505,0.28800317712673973
Airline_A,ORD,DFW,Вторник,Июнь,16,17,3.463936263454891,57.853835446637504
Airline_A,DFW,DFW,Вторник,Май,16,17,2.2458185870225744,-194.70823284885702
Airline_B,DFW,LAX,Четверг,Апрель,4,8,1.9148421498516548,100.19369540329708
Airline_C,LAX,JFK,Суббота,Март,5,10,4.335406813496347,26.354838100005747
Airline_C,ORD,LAX,Понедельник,Март,18,22,2.9522640145333723,-117.20942384925935
Airline_B,ORD,ORD,Воскресенье,Июнь,12,14,2.533055290094711,-159.29756652537182
Airline_C,DEN,DFW,Четверг,Апрель,13,17,2.6315443786761605,23.6969203882713
Airline_C,DFW,LAX,Вторник,Декабрь,21,22,1.5429404444893278,153.11323064252775
Airline_A,ORD,JFK,Пятница,Декабрь,3,7,3.129380616966701,-31.597961672609763
Airline_C,LAX,LAX,Среда,Июнь,6,9,2.375821219007941,-163.84306777488416
Airline_C,LAX,DEN,Воскресенье,Март,7,9,1.0991461122776238,-19.586855805113444
Airline_B,ORD,JFK,Четверг,Апрель,12,16,4.622954044183381,200.67784866071077
Airline_B,DFW,ORD,Четверг,Сентябрь,5,6,5.446874195200439,-20.795158614304647
Airline_A,LAX,DFW,Понедельник,Май,5,7,1.7779849715709368,89.46562931195724
Airline_C,DEN,LAX,Понедельник,Июль,23,0,5.22047048099937,153.36458143121072
Airline_C,LAX,JFK,Четверг,Октябрь,20,1,2.164566058429335,48.48863139637842
Airline_C,JFK,DEN,Вторник,Февраль,2,5,2.406332230963768,-60.15903968915719
Airline_A,JFK,JFK,Среда,Май,2,7,1.9265853832183812,-158.59325483903703
Airline_A,DFW,DEN,Воскресенье,Сентябрь,12,15,5.7104218150124115,-95.67150582881263
Airline_B,ORD,ORD,Понедельник,Ноябрь,21,1,2.4189236247929187,-151.6893040374246
Airline_A,DFW,DFW,Воскресенье,Март,1,3,4.51727216975431,94.94900120298333
Airline_C,DFW,ORD,Вторник,Сентябрь,15,19,3.0842130111770985,122.05170547641983
Airline_C,DFW,LAX,Воскресенье,Ноябрь,21,0,3.9845758963761133,-18.700509555721446
Airline_A,DFW,JFK,Пятница,Июнь,5,8,2.666407304694919,-169.20684783940828
Airline_C,DEN,DEN,Понедельник,Апрель,7,10,5.285404068463422,174.55579524994937
Airline_C,DEN,DEN,Вторник,Июль,22,23,2.5858083942152446,-60.40775925305235
Airline_A,LAX,JFK,Вторник,Август,7,9,5.109482366068994,64.69657823631744
Airline_A,JFK,JFK,Среда,Июнь,5,9,4.965836668807584,41.172304865767515
Airline_C,DFW,LAX,Среда,Май,13,17,5.174784987883366,-46.5037648231834
Airline_C,LAX,ORD,Пятница,Июнь,2,7,2.648030318055214,104.25655888261443
Airline_C,JFK,DEN,Вторник,Май,9,12,4.24545446253893,-81.80206941640277
Airline_B,ORD,LAX,Суббота,Август,2,5,1.7175613826485359,145.89361198603146
Airline_B,DEN,ORD,Вторник,Январь,11,14,3.776821367240281,-139.3887665655933
Airline_B,JFK,LAX,Среда,Ноябрь,16,20,2.6734197289114325,-81.79539597765456
Airline_A,ORD,DEN,Суббота,Июль,4,9,2.6144994602551925,131.1001805546082
Airline_B,JFK,JFK,Понедельник,Октябрь,19,20,2.8924690939520117,67.8672941640495
Airline_A,DEN,JFK,Понедельник,Октябрь,8,10,4.078626710989758,262.70977128630545
Airline_A,DEN,ORD,Воскресенье,Ноябрь,20,21,1.3309147657801952,-12.073439658070384
Airline_B,LAX,DFW,Четверг,Февраль,19,23,5.248287479630846,117.30127390279335
Airline_B,DFW,ORD,Среда,Сентябрь,6,9,1.9880139620654216,-222.3234530992962
Airline_B,JFK,DFW,Четверг,Январь,21,23,4.389389779666874,-144.47863670466052
Airline_C,JFK,LAX,Суббота,Ноябрь,3,7,2.7326126992403985,65.94835403480585
Airline_B,ORD,LAX,Среда,Октябрь,12,16,3.6847251638810046,-197.57166473313458
Airline_C,DEN,DEN,Пятница,Июнь,12,16,2.2120812374773777,34.24077066963694
Airline_A,JFK,DFW,Вторник,Сентябрь,9,11,5.238997680211551,142.48775226451204
Airline_C,DEN,DEN,Пятница,Январь,17,19,3.281284563553034,42.55484747156761
Airline_B,JFK,JFK,Суббота,Апрель,16,21,2.411127278259379,21.2705704016212
Airline_A,LAX,DFW,Среда,Апрель,19,0,3.234325065650527,-57.51880505065854
Airline_A,DFW,ORD,Суббота,Сентябрь,19,20,1.019651482746848,23.544290484791365
Airline_A,JFK,JFK,Вторник,Ноябрь,12,14,4.879393056807196,70.97369669012046
Airline_C,DEN,JFK,Понедельник,Май,16,18,2.965609831380884,-78.61761273177466
Airline_B,LAX,ORD,Понедельник,Май,21,23,5.341570387031568,16.61608637509186
Airline_A,JFK,JFK,Суббота,Июнь,3,8,1.3385068794254729,144.5610289739262
Airline_A,ORD,DFW,Четверг,Январь,0,4,2.007091812774371,-3.824424314042634
Airline_A,DFW,DEN,Среда,Январь,0,3,1.680250688330374,-60.82604133471635
Airline_C,JFK,JFK,Среда,Сентябрь,14,19,5.825439895748628,28.333805499329475
Airline_C,LAX,DFW,Понедельник,Март,12,14,2.146608300360003,31.69524661814258
Airline_B,ORD,LAX,Воскресенье,Апрель,16,21,5.159666349367151,69.21121463547203
Airline_C,LAX,DFW,Пятница,Январь,23,0,3.790083249971438,-75.56542693542815
Airline_A,LAX,DEN,Воскресенье,Сентябрь,7,9,5.616290748354144,-52.31607119842028
Airline_B,ORD,DFW,Вторник,Август,17,18,3.0448605576277172,-90.87675933063176
Airline_A,LAX,ORD,Пятница,Февраль,12,14,2.622546990462282,-101.88766162502615
Airline_A,ORD,DEN,Пятница,Август,22,3,3.3089177228437663,-163.58926270729577
Airline_C,JFK,LAX,Суббота,Июль,13,17,2.368725155470846,-332.0372445957834
Airline_B,ORD,ORD,Понедельник,Ноябрь,7,10,2.76973141829688,100.20499264039329
Airline_C,ORD,DFW,Воскресенье,Июнь,7,8,4.810935192672611,-145.45272208259843
Airline_C,DFW,DEN,Воскресенье,Январь,14,19,2.4003566268398306,205.19668735376314
Airline_B,ORD,LAX,Понедельник,Июль,12,16,3.9471529360063546,87.7836938504018
Airline_A,ORD,ORD,Воскресенье,Октябрь,6,11,4.406462717952072,-1.540592589674361
Airline_A,JFK,LAX,Понедельник,Июль,4,5,4.77183603523011,44.313783945526275
Airline_B,DFW,DFW,Суббота,Сентябрь,16,19,2.483877264564259,42.26246133765032
Airline_A,DEN,LAX,Четверг,Январь,15,20,5.897532326522084,-111.03399583004784
Airline_B,JFK,JFK,Пятница,Февраль,22,0,5.907761243650179,2.0625951590676688
Airline_B,JFK,ORD,Суббота,Ноябрь,1,5,4.087416807871084,-84.76828906272172
Airline_C,DEN,LAX,Среда,Сентябрь,21,2,2.936493331310226,37.84372658546587
Airline_B,ORD,DFW,Вторник,Сентябрь,17,21,5.825534841520415,-52.10211461453443
Airline_C,LAX,DFW,Четверг,Июнь,16,18,2.791310714312667,-58.499531788323736
Airline_A,DFW,LAX,Среда,Июнь,6,9,2.2009113396855224,-54.052591776275406
Airline_A,LAX,DFW,Пятница,Апрель,12,15,4.805119208754665,76.22668308913512
Airline_A,DEN,DEN,Воскресенье,Апрель,17,19,4.850132734685037,150.95188592703593
Airline_A,JFK,DEN,Понедельник,Май,13,17,1.2891503344541508,-2.2104777560057585
Airline_C,JFK,DEN,Пятница,Март,17,22,5.952260078362324,172.7414259702602
Airline_A,DFW,JFK,Суббота,Январь,12,14,5.049860146399165,-21.433982929850515
Airline_B,JFK,LAX,Вторник,Январь,10,11,5.14990925324714,175.62764000832954
Airline_B,JFK,JFK,Суббота,Декабрь,20,0,3.5375811380515145,-14.375270293703789
Airline_B,DFW,DFW,Четверг,Июль,20,23,2.57579247112231,118.82554262494801
Airline_C,DFW,JFK,Четверг,Январь,15,17,4.645150083300903,-41.37249710997292
Airline_A,DEN,DFW,Вторник,Январь,22,1,5.016969129315466,-255.40166240768298
Airline_A,JFK,DFW,Среда,Март,16,20,1.9603667746221303,-131.16679145012827
Airline_A,JFK,ORD,Среда,Октябрь,7,10,5.044588092734144,89.88102902357488
Airline_C,DEN,DEN,Четверг,Апрель,18,20,2.1430619527234023,50.54586055536665
Airline_B,ORD,DFW,Четверг,Апрель,19,23,2.014014517526057,-106.37467467043818
Airline_B,ORD,ORD,Воскресенье,Февраль,14,15,4.566858433294095,23.502830382954954
Airline_A,ORD,DEN,Понедельник,Январь,8,10,3.9322668839209722,-4.856024873051332
Airline_B,DEN,DFW,Воскресенье,Март,19,0,4.665947166080464,-97.08287766207458
Airline_B,JFK,DFW,Воскресенье,Ноябрь,9,11,5.822657468480427,79.17932978546835
Airline_C,DEN,JFK,Среда,Апрель,11,15,1.01328120345858,51.343479663936435
Airline_C,DEN,JFK,Вторник,Март,20,22,4.542015298479726,8.432270602138049
Airline_C,ORD,DEN,Среда,Август,22,23,3.459562977505522,-58.6470858617191
Airline_C,LAX,DFW,Понедельник,Октябрь,19,20,4.498967944220793,164.79648069078556
Airline_A,JFK,LAX,Суббота,Январь,0,5,2.0722131853351877,53.232323622731265
Airline_C,ORD,JFK,Четверг,Февраль,19,22,5.6844353610693075,-151.55169708050977
Airline_B,LAX,DEN,Четверг,Июль,8,12,5.503220414858634,32.210657598544735
Airline_A,LAX,DFW,Понедельник,Апрель,21,1,5.765148849861264,-127.96271485221254
Airline_B,DFW,DFW,Воскресенье,Август,14,17,5.485290634061715,-93.66888621949789
Airline_B,JFK,LAX,Вторник,Ноябрь,0,1,5.149381636226432,-101.71540915563872
Airline_B,LAX,DEN,Четверг,Март,11,12,5.648256954077822,4.229767510182037
Airline_C,ORD,DFW,Пятница,Июнь,2,4,1.1723863621051662,23.112985878073317
Airline_C,DFW,JFK,Воскресенье,Сентябрь,10,15,3.872394563354815,-74.57628768518755
Airline_A,JFK,LAX,Четверг,Январь,1,6,5.6131162390692415,22.753814412805816
Airline_A,DEN,DEN,Пятница,Январь,15,20,3.1572038835569542,-82.8364266283731
Airline_C,ORD,LAX,Понедельник,Август,8,10,5.962338057481206,104.96029041202098
Airline_B,LAX,JFK,Понедельник,Март,14,19,4.5183654633353205,-309.37859140842806
Airline_A,LAX,DEN,Воскресенье,Май,11,14,5.072898451871655,-21.956556841082033
Airline_C,ORD,LAX,Четверг,Январь,0,2,2.626832904415067,116.26692550416908
Airline_C,LAX,ORD,Среда,Май,12,15,1.2531989070128102,76.93370974580523
Airline_C,DFW,JFK,Пятница,Ноябрь,13,15,4.803693451877303,187.76940964747772
Airline_B,JFK,JFK,Вторник,Июнь,7,12,4.817822073566191,-228.6110630641124
Airline_C,DFW,JFK,Четверг,Август,7,10,2.978947355854662,-87.71585726647265
Airline_C,LAX,ORD,Вторник,Март,11,14,5.501869531024504,39.94843373677607
Airline_C,DEN,ORD,Четверг,Март,0,3,1.454956879727737,200.23679295804936
Airline_C,JFK,DFW,Среда,Декабрь,10,12,4.75347560544648,-48.46865210159305
Airline_A,JFK,LAX,Среда,Ноябрь,7,11,1.1324706563419267,-45.78732862190601
Airline_A,ORD,DFW,Воскресенье,Ноябрь,9,14,4.546915513793124,-5.461568240140068
Airline_C,ORD,LAX,Воскресенье,Октябрь,18,21,5.546247600130851,-116.80730808568703
Airline_B,DEN,ORD,Среда,Сентябрь,10,14,4.0894731228103876,58.90164219642179
Airline_A,JFK,ORD,Суббота,Апрель,6,11,4.417984085506913,-252.51472987029445
Airline_C,DEN,DFW,Среда,Апрель,10,15,3.853284798567202,39.02859519115454
Airline_A,ORD,DEN,Понедельник,Декабрь,16,19,5.85615362199466,-126.04328134860523
Airline_A,ORD,DFW,Понедельник,Июль,0,3,2.099237664919681,-9.94927362263212
Airline_B,JFK,LAX,Суббота,Февраль,20,22,2.090720882747831,74.78209463037776
Airline_C,DFW,DFW,Пятница,Август,20,0,5.262695477001936,1.4185045237133167
Airline_C,LAX,JFK,Вторник,Июнь,7,11,2.8747660625539933,19.808136260916363
Airline_B,ORD,LAX,Четверг,Март,22,1,5.128902585073499,111.48911310253
Airline_B,ORD,LAX,Четверг,Сентябрь,23,4,2.7199968026274464,-179.77656899158927
Airline_C,DFW,DEN,Суббота,Май,5,8,3.101165619613103,69.03583417741103
Airline_C,DFW,ORD,Понедельник,Август,21,2,2.623137853747825,-97.5622079562662
Airline_B,DEN,LAX,Воскресенье,Июль,17,22,4.356067299119145,86.73355192335337
Airline_A,DEN,ORD,Четверг,Август,5,8,5.788913962965867,91.7661496026579
Airline_A,LAX,DFW,Понедельник,Июль,4,5,1.2336904488253637,74.63771039632215
Airline_B,LAX,JFK,Пятница,Март,12,16,1.6392018293899597,123.00548863996036
Airline_A,JFK,DEN,Вторник,Февраль,18,23,5.235682534575885,118.14873443330066
Airline_B,DEN,ORD,Пятница,Июль,21,2,3.7136602831121537,-28.17382713629808
Airline_A,ORD,LAX,Суббота,Март,7,8,2.873678034560749,25.583101998738208
Airline_A,DEN,ORD,Среда,Март,8,10,3.12680179912676,64.63038839102684
Airline_C,ORD,LAX,Среда,Февраль,16,17,1.8665956885955035,16.452697066204667
Airline_C,DFW,ORD,Среда,Апрель,2,3,5.593575254414298,39.06979727940022
Airline_A,DEN,LAX,Пятница,Август,18,23,5.1271104908670235,-229.93280171472304
Airline_A,DFW,DFW,Четверг,Декабрь,10,14,3.427541855359712,217.1833846997112
Airline_C,LAX,LAX,Вторник,Январь,23,0,3.160860293485098,-17.193231980609042
Airline_C,LAX,LAX,Среда,Январь,16,18,2.7003478888665695,-163.22303978188745
Airline_C,JFK,JFK,Суббота,Декабрь,20,23,4.758868134417949,-119.47271670782243
Airline_B,DEN,LAX,Суббота,Май,18,19,4.105796520272799,-248.44798434847232
Airline_A,DFW,JFK,Среда,Ноябрь,1,2,2.5061398526946443,-111.56927936825565
Airline_C,ORD,DEN,Среда,Май,7,9,4.814625056025918,-9.010807917658425
Airline_A,LAX,JFK,Вторник,Ноябрь,18,22,1.9361630415509965,211.28734942641813
Airline_B,LAX,DFW,Среда,Декабрь,6,7,4.51351786674177,27.40364702659381
Airline_B,ORD,JFK,Вторник,Январь,16,17,2.950279223611407,21.780983167441097
Airline_C,DFW,DEN,Суббота,Июнь,5,9,4.53568897045603,-151.01265766069892
Airline_B,DFW,DFW,Среда,Январь,18,20,5.394190494599908,-64.08133011814371
Airline_A,DEN,ORD,Пятница,Май,23,0,3.8482031285528953,-62.749925956621084
Airline_C,DEN,ORD,Воскресенье,Сентябрь,5,9,1.492982710458089,-25.961020887867683
Airline_A,JFK,JFK,Пятница,Декабрь,1,2,5.471902510564523,-1.8050230795992022
Airline_A,LAX,JFK,Суббота,Май,5,8,5.4903124894098285,-17.0589061063796
Airline_B,DEN,DEN,Вторник,Июнь,22,3,2.8467850018697454,-48.00998235034583
Airline_B,DFW,DEN,Пятница,Август,4,7,3.8319415416880522,-60.99236989014642
Airline_B,ORD,LAX,Вторник,Ноябрь,18,19,3.403519992440211,10.17491271726981
Airline_B,DFW,DEN,Пятница,Январь,19,21,1.333299859870525,-2.839552339538109
Airline_B,LAX,LAX,Пятница,Февраль,3,8,2.4919280240391295,-134.76977992334872
Airline_C,DFW,DFW,Вторник,Сентябрь,21,0,1.572772509737109,-5.454281083849148
Airline_A,JFK,JFK,Четверг,Март,16,20,4.238337210627997,-55.53621317296398
Airline_A,LAX,DFW,Пятница,Июнь,10,12,5.7939550847155905,-117.96112624890483
Airline_A,ORD,DEN,Среда,Май,3,6,1.4864827657324229,-41.673925964957654
Airline_A,JFK,DFW,Воскресенье,Ноябрь,12,16,5.33404554841996,50.12255398395579
Airline_B,LAX,DFW,Суббота,Февраль,19,20,2.1068209929639905,-97.35879342296032
Airline_A,ORD,DFW,Четверг,Июль,16,20,4.238845160403607,-121.97206778534849
Airline_C,JFK,DEN,Вторник,Апрель,8,11,2.9492811717559837,7.07017558741034
